definition,word,block,modality,thisN,thisTrialN,thisRepN,rating_response.keys,rating_response.rt,rating_response.duration,break_resp.keys,break_resp.rt,break_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,instr_text.started,instr_resp.started,Instruction.stopped,instr_resp.keys,instr_resp.rt,instr_resp.duration,trial.started,visual_stimulus.started,auditory_icon.started,audio_stim.started,rating_response.started,rating_prompt.started,visual_stimulus.stopped,auditory_icon.stopped,audio_stim.stopped,rating_response.stopped,rating_prompt.stopped,trial.stopped,trials.rating_response.keys,trials.rating_response.rt,trials.rating_response.duration,Break.started,Break.stopped,trials.break_resp.keys,break_text.started,break_resp.started,trials.break_resp.rt,trials.break_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
A rainbow bridge for cars,OVERPASS,1,visual,9,9,0,4,1.6937092000152916,0.16775789996609092,None,,,0,9,9,9,54.678352900082245,,,,,,,,,54.676716300076805,55.15940350003075,55.15940350003075,55.165940566749,55.15940350003075,55.15940350003075,60.18084310006816,60.18084310006816,60.18084310006816,60.18084310006816,60.18084310006816,60.16841020004358,4,1.6937092000152916,0.16775789996609092,60.1685196000617,60.16856300004292,None,,,,,ttt,encoding,2026-03-23_20h52.18.752,encoding_phase,,2025.1.1,99.9817033486403,2026-03-23 20h52.25.161364 +0530,
A bread pillow,LOAF,1,visual,10,10,0,1,2.440864000003785,0.15981520002242178,None,,,0,10,10,10,60.18084310006816,,,,,,,,,60.179528600070626,60.66857330000494,60.66857330000494,60.67508676677632,60.66857330000494,60.66857330000494,65.68977650010493,65.68977650010493,65.68977650010493,65.68977650010493,65.68977650010493,65.67667200008873,1,2.440864000003785,0.15981520002242178,65.67682070005685,65.67687730002217,None,,,,,ttt,encoding,2026-03-23_20h52.18.752,encoding_phase,,2025.1.1,99.9817033486403,2026-03-23 20h52.25.161364 +0530,
A sleepy trumpet,HORN,1,visual,11,11,0,2,3.6997032000217587,0.12770169996656477,None,,,0,11,11,11,65.68977650010493,,,,,,,,,65.6881463000318,66.17774110008031,66.17774110008031,66.18437076668876,66.17774110008031,66.17774110008031,71.19738230004441,71.19738230004441,71.19738230004441,71.19738230004441,71.19738230004441,71.18465589999687,2,3.6997032000217587,0.12770169996656477,71.18478070001584,71.184836700093,None,,,,,ttt,encoding,2026-03-23_20h52.18.752,encoding_phase,,2025.1.1,99.9817033486403,2026-03-23 20h52.25.161364 +0530,
A wooden toothpick for giants,LOG,1,visual,12,12,0,5,2.054019800038077,0.11996089993044734,None,,,0,12,12,12,71.19738230004441,,,,,,,,,71.19565310003236,71.68715810007416,71.68715810007416,71.69375346677067,71.68715810007416,71.68715810007416,76.7120591000421,76.7120591000421,76.7120591000421,76.7120591000421,76.7120591000421,76.69689530006144,5,2.054019800038077,0.11996089993044734,76.69702160009183,76.69707590003964,None,,,,,ttt,encoding,2026-03-23_20h52.18.752,encoding_phase,,2025.1.1,99.9817033486403,2026-03-23 20h52.25.161364 +0530,
A portable sunshade,VISOR,1,visual,13,13,0,3,2.432678099954501,0.14395130006596446,None,,,0,13,13,13,76.7120591000421,,,,,,,,,76.71036370005459,77.19650489999913,77.19650489999913,77.20298856677643,77.19650489999913,77.19650489999913,82.21603560005315,82.21603560005315,82.21603560005315,82.21603560005315,82.21603560005315,82.2045951000182,3,2.432678099954501,0.14395130006596446,82.204725000076,82.20477589999791,None,,,,,ttt,encoding,2026-03-23_20h52.18.752,encoding_phase,,2025.1.1,99.9817033486403,2026-03-23 20h52.25.161364 +0530,
A wooden river,PLANK,1,visual,14,14,0,2,1.6595462000695989,0.16815619997214526,None,,,0,14,14,14,82.21603560005315,,,,,,,,,82.21444520005025,82.70570630009752,82.70570630009752,82.71240076673372,82.70570630009752,82.70570630009752,87.71653670002706,87.71653670002706,87.71653670002706,87.71653670002706,87.71653670002706,87.70433940005023,2,1.6595462000695989,0.16815619997214526,87.70445910003036,87.70451150008012,None,,,,,ttt,encoding,2026-03-23_20h52.18.752,encoding_phase,,2025.1.1,99.9817033486403,2026-03-23 20h52.25.161364 +0530,
A pocket thunderbolt,BATTERY,1,visual,15,15,0,5,1.8317186000058427,0.1281845000339672,None,,,0,15,15,15,87.71653670002706,,,,,,,,,87.71490160003304,88.20532790001016,88.20532790001016,88.2117860667097,88.20532790001016,88.20532790001016,93.21597450005356,93.21597450005356,93.21597450005356,93.21597450005356,93.21597450005356,93.20557380001992,5,1.8317186000058427,0.1281845000339672,93.20573690009769,93.20579200005159,None,,,,,ttt,encoding,2026-03-23_20h52.18.752,encoding_phase,,2025.1.1,99.9817033486403,2026-03-23 20h52.25.161364 +0530,
A portable mountain,BACKPACK,1,visual,16,16,0,3,2.060597600066103,0.12029729993082583,None,,,0,16,16,16,93.21597450005356,,,,,,,,,93.21448500000406,93.70437040005345,93.70437040005345,93.7110070667152,93.70437040005345,93.70437040005345,98.71632310003042,98.71632310003042,98.71632310003042,98.71632310003042,98.71632310003042,98.705629000091,3,2.060597600066103,0.12029729993082583,98.70572130009532,98.70576200005598,None,,,,,ttt,encoding,2026-03-23_20h52.18.752,encoding_phase,,2025.1.1,99.9817033486403,2026-03-23 20h52.25.161364 +0530,
A metal river snake,PIPE,1,visual,17,17,0,2,1.2813099999912083,0.09631180006545037,space,3.4528981000185013,None,0,17,17,17,98.71632310003042,,,,,,,,,98.71476810006425,99.2037219000049,99.2037219000049,99.21031156677442,99.2037219000049,99.2037219000049,104.20809349999763,104.20809349999763,104.20809349999763,104.20809349999763,104.20809349999763,104.20416030008346,2,1.2813099999912083,0.09631180006545037,104.20427800004836,107.66285990003962,space,104.20809349999763,104.20809349999763,3.4528981000185013,None,ttt,encoding,2026-03-23_20h52.18.752,encoding_phase,,2025.1.1,99.9817033486403,2026-03-23 20h52.25.161364 +0530,
A pocket mirror for spies,COMPACT,2,auditory,18,18,0,None,,,None,,,0,18,18,18,107.70386650005821,,,,,,,,,107.70181530003902,108.16249160002917,108.16249160002917,108.16898486676315,108.16249160002917,108.16249160002917,113.200708999997,113.200708999997,113.200708999997,113.200708999997,113.200708999997,113.16401140007656,None,,,113.16410300007556,113.16414640005678,None,,,,,ttt,encoding,2026-03-23_20h52.18.752,encoding_phase,,2025.1.1,99.9817033486403,2026-03-23 20h52.25.161364 +0530,
A paper forest,NEWSPAPER,2,auditory,19,19,0,3,4.6951346000423655,0.11140469997189939,None,,,0,19,19,19,113.200708999997,,,,,,,,,113.19868200004566,113.66213310009334,113.66213310009334,113.66883096675544,113.66213310009334,113.66213310009334,118.6871593000833,118.6871593000833,118.51144520007074,118.6871593000833,118.6871593000833,118.65159100003075,3,4.6951346000423655,0.11140469997189939,118.65163200011011,118.65164370008279,None,,,,,ttt,encoding,2026-03-23_20h52.18.752,encoding_phase,,2025.1.1,99.9817033486403,2026-03-23 20h52.25.161364 +0530,
A polite skeleton for tents,POLE,2,auditory,20,20,0,3,4.157718000002205,0.13583230006042868,None,,,0,20,20,20,118.6871593000833,,,,,,,,,118.68527560005896,119.15151240001433,119.15151240001433,119.15795136668409,119.15151240001433,119.15151240001433,124.17804690008052,124.17804690008052,124.17804690008052,124.17804690008052,124.17804690008052,124.15501030010637,3,4.157718000002205,0.13583230006042868,124.15512760006823,124.15517680009361,None,,,,,ttt,encoding,2026-03-23_20h52.18.752,encoding_phase,,2025.1.1,99.9817033486403,2026-03-23 20h52.25.161364 +0530,
A metal umbrella for wheels,HUBCAP,2,auditory,21,21,0,5,4.586233499925584,0.10432869999203831,None,,,0,21,21,21,124.17804690008052,,,,,,,,,124.17605570005253,124.65065150009468,124.65065150009468,124.65710226673788,124.65065150009468,124.65065150009468,129.68479820003267,129.68479820003267,129.68479820003267,129.68479820003267,129.68479820003267,129.65655050007626,5,4.586233499925584,0.10432869999203831,129.6566870000679,129.6567336000735,None,,,,,ttt,encoding,2026-03-23_20h52.18.752,encoding_phase,,2025.1.1,99.9817033486403,2026-03-23 20h52.25.161364 +0530,
A wall that moves,CURTAIN,2,auditory,22,22,0,3,4.319272199994884,0.128120300010778,None,,,0,22,22,22,129.68479820003267,,,,,,,,,129.68292750010733,130.1499288000632,130.1499288000632,130.1565718667737,130.1499288000632,130.1499288000632,135.17839120002463,135.17839120002463,134.60969680000562,135.17839120002463,135.17839120002463,135.13969350000843,3,4.319272199994884,0.128120300010778,135.1397953000851,135.1398393000709,None,,,,,ttt,encoding,2026-03-23_20h52.18.752,encoding_phase,,2025.1.1,99.9817033486403,2026-03-23 20h52.25.161364 +0530,
A pocket library,DIARY,2,auditory,23,23,0,3,4.333886100095697,0.08779979997780174,None,,,0,23,23,23,135.17839120002463,,,,,,,,,135.1766128001036,135.63923140009865,135.63923140009865,135.6458429666857,135.63923140009865,135.63923140009865,140.6675349000143,140.6675349000143,140.3201208000537,140.6675349000143,140.6675349000143,140.62905950006098,3,4.333886100095697,0.08779979997780174,140.6291734999977,140.629221900017,None,,,,,ttt,encoding,2026-03-23_20h52.18.752,encoding_phase,,2025.1.1,99.9817033486403,2026-03-23 20h52.25.161364 +0530,
A silent fireworks show,STARS,2,auditory,24,24,0,None,,,None,,,0,24,24,24,140.6675349000143,,,,,,,,,140.6660120000597,141.1283781999955,141.1283781999955,141.13509196666226,141.1283781999955,141.1283781999955,146.17388360004406,146.17388360004406,146.17388360004406,146.17388360004406,146.17388360004406,146.13413950009272,None,,,146.13423170009628,146.1342733000638,None,,,,,ttt,encoding,2026-03-23_20h52.18.752,encoding_phase,,2025.1.1,99.9817033486403,2026-03-23 20h52.25.161364 +0530,
A rock that floats,PUMICE,2,auditory,25,25,0,,,,,,,0,25,25,25,146.17388360004406,,,,,,,,,146.17206950008404,146.62774340005126,146.62774340005126,146.63429116673458,146.62774340005126,146.62774340005126,,,,,,,,,,,,,,,,,,,,,,,,,
