definition,word,block,modality,thisN,thisTrialN,thisRepN,rating_response.keys,break_resp.keys,break_resp.rt,break_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,instr_text.started,instr_resp.started,Instruction.stopped,instr_resp.keys,instr_resp.rt,instr_resp.duration,trial.started,visual_stimulus.started,auditory_icon.started,audio_stim.started,rating_response.started,visual_stimulus.stopped,auditory_icon.stopped,audio_stim.stopped,rating_response.stopped,trial.stopped,trials.rating_response.keys,Break.started,Break.stopped,trials.break_resp.keys,break_text.started,break_resp.started,trials.break_resp.rt,trials.break_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
A rainbow bridge for cars,OVERPASS,1,visual,9,9,0,None,None,,,0,9,9,9,53.7231582000386,,,,,,,,,53.721532900002785,54.20540480001364,54.20540480001364,54.2117772666427,54.20540480001364,59.22611579997465,59.22611579997465,59.22611579997465,59.22611579997465,59.2105198999634,None,59.21062010002788,59.21066370001063,None,,,,,ttt,encoding,2026-03-23_20h44.06.145,encoding_phase,,2025.1.1,100.12696104415521,2026-03-23 20h44.08.998837 +0530,
A bread pillow,LOAF,1,visual,10,10,0,None,None,,,0,10,10,10,59.22611579997465,,,,,,,,,59.22477660002187,59.70461110002361,59.70461110002361,59.711092566667745,59.70461110002361,64.72080220002681,64.72080220002681,64.72080220002681,64.72080220002681,64.70795289997477,None,64.70804219995625,64.70808140002191,None,,,,,ttt,encoding,2026-03-23_20h44.06.145,encoding_phase,,2025.1.1,100.12696104415521,2026-03-23 20h44.08.998837 +0530,
A sleepy trumpet,HORN,1,visual,11,11,0,None,None,,,0,11,11,11,64.72080220002681,,,,,,,,,64.71917050005868,65.20394240005407,65.20394240005407,65.21060486667945,65.20394240005407,70.22462760005146,70.22462760005146,70.22462760005146,70.22462760005146,70.21167990006506,None,70.21205380000174,70.21213330002502,None,,,,,ttt,encoding,2026-03-23_20h44.06.145,encoding_phase,,2025.1.1,100.12696104415521,2026-03-23 20h44.08.998837 +0530,
A wooden toothpick for giants,LOG,1,visual,12,12,0,None,None,,,0,12,12,12,70.22462760005146,,,,,,,,,70.22322789998725,70.71326680004131,70.71326680004131,70.71989326662539,70.71326680004131,75.73090920003597,75.73090920003597,75.73090920003597,75.73090920003597,75.71976949996315,None,75.71986700000707,75.71991340001114,None,,,,,ttt,encoding,2026-03-23_20h44.06.145,encoding_phase,,2025.1.1,100.12696104415521,2026-03-23 20h44.08.998837 +0530,
A portable sunshade,VISOR,1,visual,13,13,0,None,None,,,0,13,13,13,75.73090920003597,,,,,,,,,75.72927160002291,76.21251230000053,76.21251230000053,76.21906696661996,76.21251230000053,81.22850299999118,81.22850299999118,81.22850299999118,81.22850299999118,81.21829019999132,None,81.21837080002297,81.21840700006578,None,,,,,ttt,encoding,2026-03-23_20h44.06.145,encoding_phase,,2025.1.1,100.12696104415521,2026-03-23 20h44.08.998837 +0530,
A wooden river,PLANK,1,visual,14,14,0,None,None,,,0,14,14,14,81.22850299999118,,,,,,,,,81.22684819996357,81.71181600005366,81.71181600005366,81.7183882666907,81.71181600005366,86.72395140002482,86.72395140002482,86.72395140002482,86.72395140002482,86.71235499996692,None,86.71246399998199,86.71251380001195,None,,,,,ttt,encoding,2026-03-23_20h44.06.145,encoding_phase,,2025.1.1,100.12696104415521,2026-03-23 20h44.08.998837 +0530,
A pocket thunderbolt,BATTERY,1,visual,15,15,0,None,None,,,0,15,15,15,86.72395140002482,,,,,,,,,86.72229619999416,87.21115840005223,87.21115840005223,87.21782126668064,87.21115840005223,92.2224497999996,92.2224497999996,92.2224497999996,92.2224497999996,92.21168900001794,None,92.21179910004139,92.21185089997016,None,,,,,ttt,encoding,2026-03-23_20h44.06.145,encoding_phase,,2025.1.1,100.12696104415521,2026-03-23 20h44.08.998837 +0530,
A portable mountain,BACKPACK,1,visual,16,16,0,None,None,,,0,16,16,16,92.2224497999996,,,,,,,,,92.22091539995745,92.71043580002151,92.71043580002151,92.71692326671133,92.71043580002151,97.72851210006047,97.72851210006047,97.72851210006047,97.72851210006047,97.71587740001269,None,97.7159889000468,97.71603979996871,None,,,,,ttt,encoding,2026-03-23_20h44.06.145,encoding_phase,,2025.1.1,100.12696104415521,2026-03-23 20h44.08.998837 +0530,
A metal river snake,PIPE,1,visual,17,17,0,None,space,2.8182429000735283,None,0,17,17,17,97.72851210006047,,,,,,,,,97.72628689999692,98.20976530003827,98.20976530003827,98.21633596666312,98.20976530003827,103.21501309995074,103.21501309995074,103.21501309995074,103.21501309995074,103.2103872000007,None,103.2104987000348,106.03935670002829,space,103.21501309995074,103.21501309995074,2.8182429000735283,None,ttt,encoding,2026-03-23_20h44.06.145,encoding_phase,,2025.1.1,100.12696104415521,2026-03-23 20h44.08.998837 +0530,
A pocket mirror for spies,COMPACT,2,auditory,18,18,0,None,None,,,0,18,18,18,106.08396049996372,,,,,,,,,106.08223080006428,106.53881699999329,106.53881699999329,106.54541246669056,106.53881699999329,111.57951449998654,111.57951449998654,111.57951449998654,111.57951449998654,111.54022660001647,None,111.54034309997223,111.54040169995278,None,,,,,ttt,encoding,2026-03-23_20h44.06.145,encoding_phase,,2025.1.1,100.12696104415521,2026-03-23 20h44.08.998837 +0530,
A paper forest,NEWSPAPER,2,auditory,19,19,0,None,None,,,0,19,19,19,111.57951449998654,,,,,,,,,111.57777159998659,112.03812369995285,112.03812369995285,112.04468216671764,112.03812369995285,117.06800269999076,117.06800269999076,116.88784350000788,117.06800269999076,117.02789649995975,None,117.02800739998929,117.02806240005884,None,,,,,ttt,encoding,2026-03-23_20h44.06.145,encoding_phase,,2025.1.1,100.12696104415521,2026-03-23 20h44.08.998837 +0530,
A polite skeleton for tents,POLE,2,auditory,20,20,0,None,None,,,0,20,20,20,117.06800269999076,,,,,,,,,117.06627189996652,117.52744980005082,117.52744980005082,117.53398076672262,117.52744980005082,122.57223100005649,122.57223100005649,122.57223100005649,122.57223100005649,122.53270019998308,None,122.53281030000653,122.53287570003886,None,,,,,ttt,encoding,2026-03-23_20h44.06.145,encoding_phase,,2025.1.1,100.12696104415521,2026-03-23 20h44.08.998837 +0530,
A metal umbrella for wheels,HUBCAP,2,auditory,21,21,0,None,None,,,0,21,21,21,122.57223100005649,,,,,,,,,122.57041699998081,123.02698770002462,123.02698770002462,123.03342956671646,123.02698770002462,128.04832860000897,128.04832860000897,128.04832860000897,128.04832860000897,128.03084649995435,None,128.03092699998524,128.03096220002044,None,,,,,ttt,encoding,2026-03-23_20h44.06.145,encoding_phase,,2025.1.1,100.12696104415521,2026-03-23 20h44.08.998837 +0530,
A wall that moves,CURTAIN,2,auditory,22,22,0,,,,,0,22,22,22,128.04832860000897,,,,,,,,,128.04647249996196,128.52628280001227,128.52628280001227,128.53264096664887,128.52628280001227,,,,,,,,,,,,,,,,,,,,,,
