definition,word,modality,thisN,thisTrialN,thisRepN,prac_resp.keys,prac_resp.rt,prac_resp.duration,block,rating_response.keys,rating_response.rt,rating_response.duration,break_resp.keys,break_resp.rt,break_resp.duration,practice_rials.thisRepN,practice_rials.thisTrialN,practice_rials.thisN,practice_rials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,instr_text.started,instr_resp.started,Instruction.stopped,instr_resp.keys,instr_resp.rt,instr_resp.duration,prac_instruction.started,text.started,key_resp_2.started,prac_instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,practice_trial.started,prac_visual.started,prac_icon.started,prac_audio.started,prac_audio.stopped,prac_visual.stopped,prac_icon.stopped,prac_resp.started,prac_rating_prompt.started,practice_trial.stopped,practice_rials.prac_resp.keys,practice_rials.prac_resp.rt,practice_rials.prac_resp.duration,main_task_start.started,orientation.started,key_resp.started,main_task_start.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,visual_stimulus.started,auditory_icon.started,audio_stim.started,visual_stimulus.stopped,auditory_icon.stopped,audio_stim.stopped,rating_response.started,rating_prompt.started,trial.stopped,trials.rating_response.keys,trials.rating_response.rt,trials.rating_response.duration,Break.started,Break.stopped,trials.break_resp.keys,break_text.started,break_resp.started,trials.break_resp.rt,trials.break_resp.duration,End.started,end_text.started,end_key.started,End.stopped,end_key.keys,end_key.rt,end_key.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
A pocket refrigerator,COOLER,visual,8,8,0,,,,1,3,0.597012199999881,None,None,,,,,,,0,8,8,8,112.45122699999774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.44952600000397,112.9380719000037,112.9380719000037,112.94456526666569,117.94583199999761,117.94583199999761,117.94583199999761,117.94583199999761,117.94583199999761,118.5482387000011,3,0.597012199999881,None,118.54839660000289,118.54845429999841,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A rainbow bridge for cars,OVERPASS,visual,9,9,0,,,,1,3,0.846460400003707,None,None,,,,,,,0,9,9,9,118.56474080000044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.56291490000149,119.0474336000043,119.0474336000043,119.05404436666528,124.05618269999832,124.05618269999832,124.05618269999832,124.05618269999832,124.05618269999832,124.9068643999999,3,0.846460400003707,None,124.90693800000008,124.90696600000228,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A bread pillow,LOAF,visual,10,10,0,,,,1,3,8.333161499998823,None,None,,,,,,,0,10,10,10,124.91882169999735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.91690499999822,125.40639730000112,125.40639730000112,125.4130346666682,130.4175185999993,130.4175185999993,130.4175185999993,130.4175185999993,130.4175185999993,138.75521599999774,3,8.333161499998823,None,138.75533990000258,138.75539270000445,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A sleepy trumpet,HORN,visual,11,11,0,,,,1,3,0.8594530999980634,None,None,,,,,,,0,11,11,11,138.76833550000447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.76666529999784,139.25491350000084,139.25491350000084,139.2615223666692,144.25922770000034,144.25922770000034,144.25922770000034,144.25922770000034,144.25922770000034,145.12464220000402,3,0.8594530999980634,None,145.1247691000026,145.12481980000302,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A wooden toothpick for giants,LOG,visual,12,12,0,,,,1,4,0.3635193000009167,None,None,,,,,,,0,12,12,12,145.13791070000298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.13614500000403,145.6239962000036,145.6239962000036,145.63072956666682,150.6272444999995,150.6272444999995,150.6272444999995,150.6272444999995,150.6272444999995,150.99379079999926,4,0.3635193000009167,None,150.9939216999992,150.99397390000377,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A portable sunshade,VISOR,visual,13,13,0,,,,1,4,2.326219599999604,None,None,,,,,,,0,13,13,13,151.00798450000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.00614789999963,151.4932062000007,151.4932062000007,151.49977496666932,156.49687989999802,156.49687989999802,156.49687989999802,156.49687989999802,156.49687989999802,158.83300980000058,4,2.326219599999604,None,158.83313610000187,158.8331862999985,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A wooden river,PLANK,visual,14,14,0,,,,1,3,0.6831957000031252,None,None,,,,,,,0,14,14,14,158.84454790000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.84311570000136,159.3321722000037,159.3321722000037,159.33877366666664,164.33948570000211,164.33948570000211,164.33948570000211,164.33948570000211,164.33948570000211,165.0319707000017,3,0.6831957000031252,None,165.03209800000332,165.03215179999825,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A pocket thunderbolt,BATTERY,visual,15,15,0,,,,1,3,0.8637204999977257,None,None,,,,,,,0,15,15,15,165.04429750000418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.04277659999934,165.53148730000248,165.53148730000248,165.5379927666693,170.53500160000112,170.53500160000112,170.53500160000112,170.53500160000112,170.53500160000112,171.4013322000028,3,0.8637204999977257,None,171.40145720000146,171.40150410000206,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A portable mountain,BACKPACK,visual,16,16,0,,,,1,1,0.5064483000023756,None,None,,,,,,,0,16,16,16,171.41456800000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.41274500000145,171.9005468000032,171.9005468000032,171.90719366666988,176.90828490000422,176.90828490000422,176.90828490000422,176.90828490000422,176.90828490000422,177.42035380000016,1,0.5064483000023756,None,177.420474999999,177.4205277000001,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A metal river snake,PIPE,visual,17,17,0,,,,1,3,0.6135288000004948,None,space,5.663625399996818,None,,,,,0,17,17,17,177.43293280000216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.43119319999823,177.9198694000006,177.9198694000006,177.92633716666413,182.92910829999892,182.92910829999892,182.92910829999892,182.92910829999892,182.92910829999892,183.54975050000212,3,0.6135288000004948,None,183.54987500000425,189.22896010000113,space,183.55903229999967,183.55903229999967,5.663625399996818,None,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A pocket mirror for spies,COMPACT,auditory,18,18,0,,,,2,3,0.7108309999966878,None,None,,,,,,,0,18,18,18,189.27294590000383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.27088139999978,189.7283982000008,189.7283982000008,189.73494476666772,194.72778960000142,194.72778960000142,194.53800110000157,194.72778960000142,194.72778960000142,195.44804950000253,3,0.7108309999966878,None,195.4481467000005,195.44818490000034,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A paper forest,NEWSPAPER,auditory,19,19,0,,,,2,2,0.5317317000008188,None,None,,,,,,,0,19,19,19,195.4891138000021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.48729979999916,195.94765500000358,195.94765500000358,195.95407326666853,200.9468194000001,200.9468194000001,200.39710249999916,200.9468194000001,200.9468194000001,201.48720570000296,2,0.5317317000008188,None,201.48729959999764,201.48733670000365,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A polite skeleton for tents,POLE,auditory,20,20,0,,,,2,2,0.9165920000014012,None,None,,,,,,,0,20,20,20,201.5254905000038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.52344689999882,201.98673699999927,201.98673699999927,201.9934197666701,206.98616210000182,206.98616210000182,206.74629950000235,206.98616210000182,206.98616210000182,207.90661389999877,2,0.9165920000014012,None,207.90671049999946,207.90674710000167,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A metal umbrella for wheels,HUBCAP,auditory,21,21,0,,,,2,5,0.7934307999967132,None,None,,,,,,,0,21,21,21,207.95400650000374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.9519333999997,208.40598960000352,208.40598960000352,208.41249946666747,213.4052464999986,213.4052464999986,213.11536139999953,213.4052464999986,213.4052464999986,214.2058795999983,5,0.7934307999967132,None,214.20599239999865,214.2060369000028,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A wall that moves,CURTAIN,auditory,22,22,0,,,,2,2,0.6621543000001111,None,None,,,,,,,0,22,22,22,214.22850409999955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.22668089999934,214.7052232999995,214.7052232999995,214.71174716666818,219.7044384000037,219.7044384000037,218.7747109999982,219.7044384000037,219.7044384000037,220.37514580000425,2,0.6621543000001111,None,220.37526900000375,220.37533629999962,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A pocket library,DIARY,auditory,23,23,0,,,,2,1,0.9968184999961522,None,None,,,,,,,0,23,23,23,220.42088589999912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.41877640000166,220.874504600004,220.874504600004,220.88094156666583,225.87388890000148,225.87388890000148,225.15393829999812,225.87388890000148,225.87388890000148,226.87420120000024,1,0.9968184999961522,None,226.8743164999978,226.874358699999,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A silent fireworks show,STARS,auditory,24,24,0,,,,2,3,0.5536808000033488,None,None,,,,,,,0,24,24,24,226.9202226999987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.91797580000275,227.37360030000127,227.37360030000127,227.38013986666581,232.372901499999,232.372901499999,232.213167300004,232.372901499999,232.372901499999,232.93375540000125,3,0.5536808000033488,None,232.93387860000075,232.93392770000355,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A rock that floats,PUMICE,auditory,25,25,0,,,,2,4,0.350844300002791,None,None,,,,,,,0,25,25,25,232.98158300000068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.9790737000003,233.4330575999993,233.4330575999993,233.43949086666933,238.43219020000106,238.43219020000106,237.6924016999983,238.43219020000106,238.43219020000106,238.79291889999877,4,0.350844300002791,None,238.793053100002,238.79310270000133,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A metal rainbow,BRIDGE,auditory,26,26,0,,,,2,1,0.2111908000006224,None,None,,,,,,,0,26,26,26,238.81405120000272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.8123515000043,239.29218319999927,239.29218319999927,239.29871766666864,244.29149920000054,244.29149920000054,243.39183960000082,244.29149920000054,244.29149920000054,244.51226750000205,1,0.2111908000006224,None,244.51239129999885,244.51243850000174,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A sky anchor,HELICOPTER,auditory,27,27,0,,,,2,3,1.243655400001444,None,None,,,,,,,0,27,27,27,244.54876479999803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.5468217000016,245.0115380999996,245.0115380999996,245.01814256667083,250.01092059999792,250.01092059999792,249.27116699999897,250.01092059999792,250.01092059999792,251.26142310000432,3,1.243655400001444,None,251.26154379999934,251.2615908000007,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A snowman's spare nose,CARROT,auditory,28,28,0,,,,2,3,0.8387961000044015,None,None,,,,,,,0,28,28,28,251.3072986000043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.30532200000016,251.76082560000214,251.76082560000214,251.76726256667123,256.7599184999999,256.7599184999999,256.2799981999997,256.7599184999999,256.7599184999999,257.6006389000031,3,0.8387961000044015,None,257.6007629000014,257.60081229999923,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A cloud on a stick,COTTONCANDY,auditory,29,29,0,,,,2,5,1.3154673999961233,None,None,,,,,,,0,29,29,29,257.6460406000042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.6440875999979,258.0999501999977,258.0999501999977,258.10652486666754,263.0990768999982,263.0990768999982,262.66935309999826,263.0990768999982,263.0990768999982,264.41984790000424,5,1.3154673999961233,None,264.41998250000324,264.4200361999974,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A metal tree with traffic fruit,TRAFFICLIGHT,auditory,30,30,0,,,,2,3,0.941526899994642,None,None,,,,,,,0,30,30,30,264.4747720000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.4726482000042,264.9188918,264.9188918,264.92534406666914,269.9289357000016,269.9289357000016,269.9289357000016,269.9289357000016,269.9289357000016,270.87845709999965,3,0.941526899994642,None,270.8785543999984,270.87859310000204,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A flying door,WINDOW,auditory,31,31,0,,,,2,3,0.7651162999973167,None,None,,,,,,,0,31,31,31,270.91682559999754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.9148228999984,271.3780612000046,271.3780612000046,271.3846438666699,276.3774720000001,276.3774720000001,275.4874947999997,276.3774720000001,276.3774720000001,277.1480238000004,3,0.7651162999973167,None,277.1481558000014,277.14820780000446,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A pocket sun,FLASHLIGHT,auditory,32,32,0,,,,2,5,0.44001610000123037,None,None,,,,,,,0,32,32,32,277.1855448999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277.1835701000018,277.64726189999783,277.64726189999783,277.6538562666649,282.6466120999976,282.6466120999976,281.9066062999991,282.6466120999976,282.6466120999976,283.0972271999999,5,0.44001610000123037,None,283.0973493999991,283.09739799999807,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A portable thundercloud,DRUM,auditory,33,33,0,,,,2,1,0.43475589999434305,None,None,,,,,,,0,33,33,33,283.1298547999977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.12804799999867,283.5965428999989,283.5965428999989,283.6031481666689,288.5958555000034,288.5958555000034,287.969342700002,288.5958555000034,288.5958555000034,289.036230800004,1,0.43475589999434305,None,289.0363454000035,289.03640570000425,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A sleepy mountain,VOLCANO,auditory,34,34,0,,,,2,5,2.2234438999948907,None,None,,,,,,,0,34,34,34,289.08861450000404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.0866526000027,289.5358152999979,289.5358152999979,289.542389866667,294.5352045000036,294.5352045000036,293.8352535000013,294.5352045000036,294.5352045000036,296.7654201000041,5,2.2234438999948907,None,296.76553389999754,296.76557709999906,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
